defect_id,product_id,defect_type,defect_date,defect_location,severity,inspection_method,repair_cost,year,month,weekday
88,9,Functional,2024-02-09,Component,Critical,Visual Inspection,776.54,2024,2,9
89,6,Functional,2024-05-01,Surface,Moderate,Visual Inspection,920.26,2024,5,1
90,58,Structural,2024-02-17,Internal,Moderate,Visual Inspection,492.22,2024,2,17
91,98,Cosmetic,2024-03-07,Surface,Critical,Manual Testing,513.45,2024,3,7
92,93,Functional,2024-06-30,Component,Moderate,Automated Testing,286.28,2024,6,30
93,10,Functional,2024-04-01,Surface,Minor,Automated Testing,698.89,2024,4,1
94,72,Cosmetic,2024-02-02,Internal,Critical,Visual Inspection,555.25,2024,2,2
95,36,Cosmetic,2024-05-16,Component,Moderate,Manual Testing,465.92,2024,5,16
96,11,Structural,2024-03-08,Component,Critical,Manual Testing,732.13,2024,3,8
97,56,Structural,2024-03-15,Component,Moderate,Automated Testing,582.46,2024,3,15
98,67,Cosmetic,2024-03-10,Component,Moderate,Visual Inspection,647.7,2024,3,10
99,67,Structural,2024-04-08,Component,Critical,Visual Inspection,536.57,2024,4,8
100,8,Functional,2024-04-24,Surface,Minor,Visual Inspection,673.85,2024,4,24
101,27,Structural,2024-01-25,Internal,Minor,Manual Testing,871.1,2024,1,25
102,79,Structural,2024-06-25,Internal,Critical,Visual Inspection,973.66,2024,6,25
103,87,Functional,2024-05-31,Internal,Critical,Visual Inspection,787.42,2024,5,31
104,1,Structural,2024-06-25,Surface,Minor,Manual Testing,338.48,2024,6,25
105,49,Structural,2024-04-30,Component,Critical,Visual Inspection,922.07,2024,4,30
106,9,Functional,2024-05-14,Surface,Moderate,Manual Testing,137.41,2024,5,14
107,63,Structural,2024-06-28,Surface,Critical,Automated Testing,17.89,2024,6,28
108,97,Cosmetic,2024-01-26,Surface,Moderate,Manual Testing,210.3,2024,1,26
109,1,Cosmetic,2024-02-22,Component,Critical,Automated Testing,978.5,2024,2,22
110,44,Functional,2024-03-05,Surface,Minor,Visual Inspection,381.15,2024,3,5
111,27,Structural,2024-05-06,Component,Moderate,Manual Testing,302.42,2024,5,6
112,9,Cosmetic,2024-01-12,Component,Minor,Automated Testing,813.46,2024,1,12
113,67,Cosmetic,2024-04-08,Surface,Minor,Automated Testing,998.27,2024,4,8
114,83,Functional,2024-01-25,Component,Critical,Manual Testing,498.47,2024,1,25
115,66,Functional,2024-04-30,Internal,Moderate,Visual Inspection,362.23,2024,4,30
116,36,Cosmetic,2024-01-09,Internal,Critical,Visual Inspection,194.79,2024,1,9
117,64,Cosmetic,2024-01-11,Surface,Moderate,Visual Inspection,677.65,2024,1,11
118,66,Structural,2024-04-10,Surface,Critical,Manual Testing,310.8,2024,4,10
119,99,Structural,2024-03-05,Surface,Minor,Visual Inspection,717.21,2024,3,5
120,80,Functional,2024-03-08,Component,Critical,Manual Testing,641.58,2024,3,8
121,86,Structural,2024-06-09,Internal,Minor,Manual Testing,520.84,2024,6,9
122,51,Structural,2024-04-16,Surface,Critical,Manual Testing,271.18,2024,4,16
123,79,Cosmetic,2024-02-04,Internal,Minor,Manual Testing,657.81,2024,2,4
124,100,Functional,2024-03-27,Internal,Moderate,Manual Testing,620.66,2024,3,27
125,86,Cosmetic,2024-03-10,Surface,Critical,Visual Inspection,533.03,2024,3,10
126,29,Structural,2024-02-01,Surface,Minor,Visual Inspection,21.77,2024,2,1
127,68,Cosmetic,2024-05-19,Surface,Minor,Manual Testing,302.22,2024,5,19
128,92,Cosmetic,2024-03-02,Internal,Moderate,Automated Testing,895.38,2024,3,2
129,14,Cosmetic,2024-06-20,Surface,Critical,Visual Inspection,241.61,2024,6,20
130,72,Cosmetic,2024-04-06,Internal,Critical,Automated Testing,878.46,2024,4,6
131,61,Functional,2024-05-15,Internal,Critical,Visual Inspection,268.08,2024,5,15
132,63,Structural,2024-04-23,Surface,Critical,Visual Inspection,492.32,2024,4,23
133,86,Structural,2024-03-20,Surface,Moderate,Manual Testing,379.78,2024,3,20
134,98,Cosmetic,2024-02-03,Surface,Moderate,Visual Inspection,498.71,2024,2,3
135,61,Cosmetic,2024-02-15,Internal,Moderate,Automated Testing,379.01,2024,2,15
136,67,Functional,2024-02-21,Internal,Minor,Automated Testing,79.52,2024,2,21
137,2,Functional,2024-04-19,Internal,Critical,Automated Testing,602.25,2024,4,19
138,11,Structural,2024-03-05,Component,Critical,Automated Testing,575.71,2024,3,5
139,58,Cosmetic,2024-06-24,Surface,Critical,Visual Inspection,760.33,2024,6,24
140,68,Functional,2024-04-04,Internal,Critical,Manual Testing,955.54,2024,4,4
141,28,Cosmetic,2024-01-06,Internal,Minor,Visual Inspection,679.88,2024,1,6
142,63,Structural,2024-03-25,Internal,Critical,Visual Inspection,71.91,2024,3,25
143,100,Functional,2024-05-27,Internal,Moderate,Manual Testing,916.79,2024,5,27
144,45,Cosmetic,2024-06-18,Internal,Moderate,Manual Testing,558.34,2024,6,18
145,25,Structural,2024-01-16,Internal,Minor,Manual Testing,23.02,2024,1,16
146,43,Cosmetic,2024-04-26,Internal,Minor,Visual Inspection,346.23,2024,4,26
147,45,Structural,2024-04-05,Internal,Critical,Automated Testing,926.31,2024,4,5
148,84,Cosmetic,2024-01-29,Internal,Critical,Automated Testing,783.88,2024,1,29
149,41,Cosmetic,2024-01-25,Surface,Moderate,Automated Testing,747.18,2024,1,25
150,53,Functional,2024-03-22,Surface,Critical,Manual Testing,415.84,2024,3,22
151,61,Structural,2024-06-07,Component,Minor,Visual Inspection,502.15,2024,6,7
152,97,Structural,2024-01-27,Internal,Moderate,Manual Testing,94.7,2024,1,27
153,63,Cosmetic,2024-01-09,Surface,Minor,Manual Testing,426.04,2024,1,9
154,75,Cosmetic,2024-05-03,Surface,Moderate,Automated Testing,380.52,2024,5,3
155,10,Structural,2024-01-24,Component,Minor,Visual Inspection,935.64,2024,1,24
156,56,Functional,2024-05-21,Internal,Minor,Manual Testing,595.9,2024,5,21
157,96,Functional,2024-05-07,Surface,Minor,Manual Testing,788.22,2024,5,7
158,96,Functional,2024-01-16,Surface,Critical,Visual Inspection,465.74,2024,1,16
159,77,Structural,2024-05-19,Internal,Moderate,Automated Testing,661.8,2024,5,19
160,91,Structural,2024-05-17,Surface,Moderate,Manual Testing,532.77,2024,5,17
161,56,Cosmetic,2024-05-21,Component,Minor,Visual Inspection,612.03,2024,5,21
162,56,Functional,2024-02-09,Component,Moderate,Manual Testing,614.11,2024,2,9
163,12,Cosmetic,2024-01-30,Surface,Minor,Manual Testing,238.39,2024,1,30
164,6,Structural,2024-04-20,Internal,Minor,Visual Inspection,986.51,2024,4,20
165,30,Cosmetic,2024-05-06,Component,Critical,Automated Testing,796.76,2024,5,6
166,34,Functional,2024-02-15,Component,Minor,Visual Inspection,105.27,2024,2,15
167,99,Cosmetic,2024-01-27,Surface,Moderate,Automated Testing,950.97,2024,1,27
168,14,Structural,2024-06-29,Surface,Critical,Visual Inspection,517.41,2024,6,29
169,70,Cosmetic,2024-06-03,Surface,Critical,Manual Testing,789.62,2024,6,3
170,4,Functional,2024-05-16,Internal,Moderate,Visual Inspection,942.03,2024,5,16
171,74,Cosmetic,2024-04-26,Surface,Moderate,Manual Testing,352.05,2024,4,26
172,25,Cosmetic,2024-01-02,Component,Critical,Automated Testing,10.22,2024,1,2
173,74,Cosmetic,2024-03-29,Component,Moderate,Automated Testing,932.23,2024,3,29
174,51,Functional,2024-05-29,Surface,Critical,Automated Testing,715.22,2024,5,29
175,6,Structural,2024-02-19,Internal,Moderate,Manual Testing,999.64,2024,2,19
176,13,Structural,2024-03-09,Surface,Critical,Manual Testing,952.49,2024,3,9
177,34,Structural,2024-01-21,Internal,Minor,Manual Testing,174.76,2024,1,21
178,51,Functional,2024-01-17,Internal,Minor,Visual Inspection,755.15,2024,1,17
179,44,Structural,2024-04-23,Surface,Moderate,Automated Testing,532.6,2024,4,23
180,64,Structural,2024-01-07,Component,Minor,Manual Testing,854.25,2024,1,7
181,91,Functional,2024-02-29,Internal,Minor,Automated Testing,383.83,2024,2,29
182,80,Functional,2024-01-27,Internal,Moderate,Manual Testing,80.0,2024,1,27
183,8,Structural,2024-02-02,Component,Critical,Visual Inspection,970.31,2024,2,2
184,14,Functional,2024-02-09,Internal,Moderate,Visual Inspection,517.63,2024,2,9
185,64,Structural,2024-01-15,Surface,Moderate,Automated Testing,81.33,2024,1,15
186,21,Structural,2024-03-29,Component,Critical,Manual Testing,540.92,2024,3,29
187,13,Cosmetic,2024-04-27,Internal,Critical,Visual Inspection,280.77,2024,4,27
188,56,Structural,2024-06-02,Internal,Moderate,Automated Testing,87.28,2024,6,2
189,95,Cosmetic,2024-02-23,Surface,Minor,Manual Testing,306.56,2024,2,23
190,4,Functional,2024-06-22,Surface,Critical,Automated Testing,86.46,2024,6,22
191,80,Cosmetic,2024-01-12,Surface,Critical,Manual Testing,13.03,2024,1,12
192,95,Functional,2024-03-21,Component,Critical,Visual Inspection,525.07,2024,3,21
193,28,Cosmetic,2024-05-21,Component,Critical,Manual Testing,219.71,2024,5,21
194,1,Structural,2024-03-03,Component,Critical,Visual Inspection,192.21,2024,3,3
195,17,Structural,2024-02-18,Component,Moderate,Automated Testing,924.13,2024,2,18
196,18,Structural,2024-06-21,Component,Minor,Manual Testing,65.23,2024,6,21
197,76,Cosmetic,2024-05-28,Internal,Moderate,Automated Testing,481.7,2024,5,28
198,28,Cosmetic,2024-04-14,Surface,Minor,Manual Testing,561.27,2024,4,14
199,75,Structural,2024-01-30,Internal,Moderate,Visual Inspection,169.54,2024,1,30
200,78,Cosmetic,2024-04-04,Surface,Moderate,Visual Inspection,629.38,2024,4,4
201,8,Cosmetic,2024-01-04,Surface,Critical,Automated Testing,783.36,2024,1,4
202,97,Structural,2024-05-25,Surface,Moderate,Automated Testing,102.88,2024,5,25
203,22,Structural,2024-04-05,Component,Minor,Manual Testing,269.04,2024,4,5
204,82,Functional,2024-01-20,Surface,Moderate,Visual Inspection,257.33,2024,1,20
205,17,Structural,2024-05-28,Component,Critical,Automated Testing,824.37,2024,5,28
206,59,Functional,2024-05-29,Surface,Minor,Manual Testing,303.59,2024,5,29
207,69,Functional,2024-04-22,Internal,Critical,Automated Testing,793.3,2024,4,22
208,22,Functional,2024-01-31,Surface,Critical,Manual Testing,929.05,2024,1,31
209,76,Functional,2024-05-20,Internal,Moderate,Manual Testing,473.36,2024,5,20
210,59,Functional,2024-01-25,Surface,Minor,Automated Testing,478.17,2024,1,25
211,61,Structural,2024-03-12,Component,Critical,Manual Testing,430.49,2024,3,12
212,69,Functional,2024-05-07,Surface,Moderate,Automated Testing,460.93,2024,5,7
213,75,Cosmetic,2024-01-30,Internal,Moderate,Visual Inspection,917.3,2024,1,30
214,42,Structural,2024-01-02,Surface,Minor,Manual Testing,520.21,2024,1,2
215,38,Functional,2024-01-07,Internal,Critical,Manual Testing,575.58,2024,1,7
216,5,Structural,2024-01-13,Internal,Moderate,Visual Inspection,296.41,2024,1,13
217,10,Cosmetic,2024-05-28,Surface,Critical,Automated Testing,622.98,2024,5,28
218,21,Functional,2024-05-10,Internal,Critical,Visual Inspection,484.08,2024,5,10
219,92,Cosmetic,2024-04-26,Component,Critical,Manual Testing,479.31,2024,4,26
220,29,Functional,2024-04-05,Surface,Minor,Manual Testing,624.22,2024,4,5
221,49,Functional,2024-06-11,Component,Critical,Manual Testing,777.18,2024,6,11
222,28,Functional,2024-02-12,Component,Critical,Automated Testing,842.93,2024,2,12
223,87,Cosmetic,2024-01-26,Surface,Critical,Manual Testing,974.99,2024,1,26
224,51,Functional,2024-04-24,Component,Critical,Manual Testing,989.81,2024,4,24
225,64,Structural,2024-04-23,Component,Moderate,Visual Inspection,484.04,2024,4,23
226,77,Cosmetic,2024-06-04,Internal,Minor,Automated Testing,38.39,2024,6,4
227,23,Functional,2024-06-23,Surface,Minor,Visual Inspection,334.53,2024,6,23
228,89,Functional,2024-02-04,Component,Moderate,Manual Testing,580.74,2024,2,4
229,30,Functional,2024-03-24,Surface,Critical,Manual Testing,638.28,2024,3,24
230,88,Structural,2024-01-28,Component,Minor,Manual Testing,727.86,2024,1,28
231,47,Structural,2024-03-11,Internal,Moderate,Manual Testing,117.74,2024,3,11
232,74,Functional,2024-05-25,Component,Critical,Automated Testing,891.94,2024,5,25
233,53,Structural,2024-03-17,Surface,Minor,Visual Inspection,440.58,2024,3,17
234,39,Structural,2024-02-17,Internal,Minor,Automated Testing,310.96,2024,2,17
235,4,Cosmetic,2024-01-28,Internal,Critical,Manual Testing,430.74,2024,1,28
236,29,Cosmetic,2024-05-05,Surface,Minor,Automated Testing,47.99,2024,5,5
237,31,Cosmetic,2024-06-30,Component,Moderate,Visual Inspection,728.13,2024,6,30
238,75,Structural,2024-02-06,Component,Critical,Visual Inspection,890.35,2024,2,6
239,88,Functional,2024-03-12,Surface,Minor,Manual Testing,356.55,2024,3,12
240,14,Structural,2024-05-04,Internal,Moderate,Visual Inspection,271.51,2024,5,4
241,80,Structural,2024-03-19,Surface,Minor,Manual Testing,288.31,2024,3,19
242,13,Functional,2024-02-08,Component,Critical,Automated Testing,663.49,2024,2,8
243,5,Functional,2024-06-18,Internal,Moderate,Manual Testing,711.77,2024,6,18
244,67,Structural,2024-06-04,Surface,Moderate,Visual Inspection,822.12,2024,6,4
245,35,Cosmetic,2024-05-27,Component,Critical,Visual Inspection,889.52,2024,5,27
246,81,Structural,2024-03-30,Surface,Minor,Automated Testing,471.55,2024,3,30
247,24,Cosmetic,2024-04-22,Internal,Critical,Automated Testing,136.69,2024,4,22
248,65,Structural,2024-03-27,Component,Minor,Automated Testing,148.61,2024,3,27
249,13,Structural,2024-05-16,Surface,Moderate,Manual Testing,768.39,2024,5,16
250,65,Cosmetic,2024-06-07,Component,Moderate,Manual Testing,545.52,2024,6,7
251,33,Structural,2024-01-29,Component,Moderate,Automated Testing,978.58,2024,1,29
252,92,Cosmetic,2024-05-16,Internal,Critical,Visual Inspection,62.59,2024,5,16
253,25,Functional,2024-05-01,Component,Minor,Automated Testing,146.53,2024,5,1
254,33,Functional,2024-05-02,Surface,Minor,Automated Testing,168.3,2024,5,2
255,63,Cosmetic,2024-01-02,Internal,Critical,Manual Testing,225.2,2024,1,2
256,23,Structural,2024-06-18,Surface,Minor,Manual Testing,875.37,2024,6,18
257,47,Structural,2024-06-03,Surface,Minor,Manual Testing,772.77,2024,6,3
258,78,Structural,2024-05-07,Component,Minor,Automated Testing,617.12,2024,5,7
259,74,Functional,2024-03-20,Surface,Moderate,Manual Testing,900.61,2024,3,20
260,70,Structural,2024-03-03,Surface,Minor,Manual Testing,159.25,2024,3,3
261,59,Functional,2024-03-02,Internal,Minor,Manual Testing,16.62,2024,3,2
262,77,Functional,2024-02-25,Surface,Minor,Automated Testing,906.96,2024,2,25
263,96,Functional,2024-05-03,Internal,Minor,Manual Testing,446.61,2024,5,3
264,39,Structural,2024-01-29,Surface,Minor,Manual Testing,406.06,2024,1,29
265,54,Structural,2024-06-08,Component,Minor,Automated Testing,286.25,2024,6,8
266,74,Structural,2024-06-22,Surface,Critical,Manual Testing,319.6,2024,6,22
267,57,Functional,2024-06-04,Surface,Moderate,Manual Testing,798.16,2024,6,4
268,48,Functional,2024-01-05,Component,Critical,Manual Testing,674.23,2024,1,5
269,99,Cosmetic,2024-03-09,Component,Minor,Manual Testing,940.48,2024,3,9
270,71,Functional,2024-04-05,Internal,Critical,Visual Inspection,42.63,2024,4,5
271,37,Cosmetic,2024-06-26,Surface,Critical,Automated Testing,433.02,2024,6,26
272,65,Structural,2024-04-09,Internal,Minor,Manual Testing,606.91,2024,4,9
273,94,Structural,2024-06-15,Surface,Moderate,Automated Testing,129.41,2024,6,15
274,83,Cosmetic,2024-02-05,Surface,Critical,Manual Testing,444.1,2024,2,5
275,71,Functional,2024-05-29,Surface,Moderate,Manual Testing,634.26,2024,5,29
276,46,Cosmetic,2024-01-13,Surface,Moderate,Manual Testing,672.89,2024,1,13
277,56,Functional,2024-05-22,Internal,Minor,Visual Inspection,557.67,2024,5,22
278,34,Functional,2024-06-22,Internal,Minor,Manual Testing,272.53,2024,6,22
279,19,Structural,2024-02-17,Internal,Minor,Visual Inspection,503.24,2024,2,17
280,27,Functional,2024-04-23,Surface,Critical,Visual Inspection,611.37,2024,4,23
281,69,Cosmetic,2024-01-24,Surface,Minor,Visual Inspection,501.54,2024,1,24
282,90,Structural,2024-05-20,Surface,Minor,Manual Testing,290.23,2024,5,20
283,63,Cosmetic,2024-01-30,Internal,Moderate,Manual Testing,195.84,2024,1,30
284,86,Structural,2024-04-09,Internal,Moderate,Visual Inspection,88.05,2024,4,9
285,82,Structural,2024-05-17,Surface,Critical,Manual Testing,97.99,2024,5,17
286,65,Structural,2024-06-19,Internal,Critical,Visual Inspection,349.24,2024,6,19
287,14,Structural,2024-01-31,Internal,Critical,Manual Testing,421.51,2024,1,31
288,48,Structural,2024-05-26,Internal,Critical,Manual Testing,422.77,2024,5,26
289,61,Structural,2024-02-07,Internal,Minor,Automated Testing,925.03,2024,2,7
290,35,Structural,2024-02-27,Internal,Minor,Automated Testing,319.58,2024,2,27
291,67,Functional,2024-04-22,Surface,Moderate,Automated Testing,556.42,2024,4,22
292,16,Structural,2024-02-04,Surface,Minor,Automated Testing,818.54,2024,2,4
293,44,Structural,2024-01-02,Internal,Moderate,Automated Testing,320.62,2024,1,2
294,80,Cosmetic,2024-03-31,Internal,Moderate,Manual Testing,178.82,2024,3,31
295,83,Structural,2024-02-29,Surface,Critical,Manual Testing,237.65,2024,2,29
296,93,Structural,2024-03-14,Component,Moderate,Manual Testing,658.16,2024,3,14
297,43,Structural,2024-01-23,Surface,Minor,Visual Inspection,326.58,2024,1,23
298,87,Cosmetic,2024-02-14,Surface,Minor,Manual Testing,301.61,2024,2,14
299,56,Cosmetic,2024-05-26,Surface,Minor,Visual Inspection,357.56,2024,5,26
300,3,Functional,2024-04-26,Internal,Critical,Manual Testing,358.21,2024,4,26
301,22,Structural,2024-05-03,Surface,Moderate,Manual Testing,89.91,2024,5,3
302,85,Cosmetic,2024-05-06,Internal,Minor,Automated Testing,18.42,2024,5,6
303,80,Functional,2024-04-25,Component,Moderate,Visual Inspection,294.31,2024,4,25
304,17,Functional,2024-04-24,Internal,Minor,Visual Inspection,865.96,2024,4,24
305,35,Cosmetic,2024-06-12,Component,Minor,Visual Inspection,578.28,2024,6,12
306,39,Structural,2024-02-13,Surface,Critical,Visual Inspection,495.87,2024,2,13
307,30,Functional,2024-06-19,Component,Minor,Visual Inspection,728.39,2024,6,19
308,47,Cosmetic,2024-01-08,Component,Minor,Manual Testing,949.72,2024,1,8
309,24,Structural,2024-03-23,Component,Moderate,Manual Testing,56.12,2024,3,23
310,76,Structural,2024-05-26,Component,Moderate,Automated Testing,56.35,2024,5,26
311,38,Structural,2024-04-08,Internal,Minor,Manual Testing,651.35,2024,4,8
312,47,Cosmetic,2024-02-23,Component,Minor,Manual Testing,471.27,2024,2,23
313,82,Cosmetic,2024-05-29,Surface,Moderate,Visual Inspection,732.6,2024,5,29
314,36,Cosmetic,2024-02-19,Component,Minor,Automated Testing,865.3,2024,2,19
315,40,Functional,2024-01-15,Internal,Minor,Automated Testing,49.2,2024,1,15
316,28,Cosmetic,2024-06-09,Surface,Critical,Manual Testing,567.72,2024,6,9
317,31,Cosmetic,2024-01-09,Surface,Moderate,Visual Inspection,490.53,2024,1,9
318,34,Functional,2024-03-03,Component,Minor,Manual Testing,11.38,2024,3,3
319,56,Functional,2024-02-23,Component,Moderate,Visual Inspection,409.72,2024,2,23
320,45,Functional,2024-01-05,Component,Minor,Visual Inspection,515.07,2024,1,5
321,32,Structural,2024-06-06,Component,Moderate,Visual Inspection,42.44,2024,6,6
322,54,Functional,2024-05-30,Internal,Critical,Automated Testing,883.58,2024,5,30
323,44,Structural,2024-06-08,Internal,Minor,Automated Testing,624.98,2024,6,8
324,97,Functional,2024-04-06,Component,Minor,Manual Testing,195.74,2024,4,6
325,15,Functional,2024-04-15,Internal,Moderate,Manual Testing,241.22,2024,4,15
326,97,Cosmetic,2024-04-29,Component,Minor,Manual Testing,441.18,2024,4,29
327,17,Structural,2024-04-01,Component,Critical,Manual Testing,274.09,2024,4,1
328,91,Functional,2024-06-08,Surface,Moderate,Visual Inspection,268.52,2024,6,8
329,92,Structural,2024-01-02,Component,Critical,Automated Testing,170.44,2024,1,2
330,72,Functional,2024-03-01,Component,Moderate,Automated Testing,386.43,2024,3,1
